Landmark 12: x=0.6951631307601929, y=0.342052161693573, z=-0.008388025686144829
Landmark 13: x=0.7735832929611206, y=0.48829004168510437, z=0.0327095165848732
Landmark 14: x=0.7682309150695801, y=0.4124438166618347, z=0.022794265300035477
Landmark 15: x=0.7554519772529602, y=0.36798110604286194, z=-0.010669705457985401
Landmark 16: x=0.7369818687438965, y=0.3386112451553345, z=-0.03398975357413292
Landmark 17: x=0.8176825642585754, y=0.4985519051551819, z=0.016339581459760666
Landmark 18: x=0.8260039687156677, y=0.4303595721721649, z=0.004072221927344799
Landmark 19: x=0.8187965154647827, y=0.3899112045764923, z=-0.01613735966384411
Landmark 20: x=0.8028723001480103, y=0.3601458668708801, z=-0.03164496645331383

Landmark 0: x=0.7771280407905579, y=0.7089546918869019, z=2.638683715971979e-09
Landmark 1: x=0.6994503736495972, y=0.6640298366546631, z=-0.02036391571164131
Landmark 2: x=0.6482115983963013, y=0.5928064584732056, z=-0.02356697805225849
Landmark 3: x=0.6289377212524414, y=0.5151101350784302, z=-0.031301505863666534
Landmark 4: x=0.6349977254867554, y=0.45238468050956726, z=-0.039584700018167496
Landmark 5: x=0.6884632110595703, y=0.5038928389549255, z=0.04636715352535248
Landmark 6: x=0.6715623140335083, y=0.4296678602695465, z=0.043829694390296936
Landmark 7: x=0.6598246693611145, y=0.38958293199539185, z=0.029831456020474434
Landmark 8: x=0.6487947702407837, y=0.35629376769065857, z=0.01768643781542778
Landmark 9: x=0.729534924030304, y=0.48958760499954224, z=0.041592322289943695
Landmark 10: x=0.7192196846008301, y=0.41172757744789124, z=0.039153434336185455
Landmark 11: x=0.7083278298377991, y=0.3689520061016083, z=0.010257899761199951
Landmark 12: x=0.6945744752883911, y=0.34185224771499634, z=-0.011319140903651714
Landmark 13: x=0.7706653475761414, y=0.48893776535987854, z=0.029211897403001785
Landmark 14: x=0.7650293111801147, y=0.41309627890586853, z=0.01911267638206482
Landmark 15: x=0.7528442740440369, y=0.36924970149993896, z=-0.014237100258469582
Landmark 16: x=0.7361577153205872, y=0.3416302800178528, z=-0.0374176949262619
Landmark 17: x=0.8149791359901428, y=0.49860355257987976, z=0.013242879882454872
Landmark 18: x=0.8237422704696655, y=0.4307735562324524, z=0.0008111256174743176
Landmark 19: x=0.8167341947555542, y=0.39070290327072144, z=-0.019437842071056366
Landmark 20: x=0.8018403649330139, y=0.3623162508010864, z=-0.03495617210865021

Landmark 0: x=0.7697751522064209, y=0.7055385708808899, z=5.404825476063024e-10
Landmark 1: x=0.6960705518722534, y=0.663557767868042, z=-0.022737709805369377
Landmark 2: x=0.6427567005157471, y=0.5943294763565063, z=-0.029261436313390732
Landmark 3: x=0.6187930107116699, y=0.5207372307777405, z=-0.03895839676260948
Landmark 4: x=0.6092162132263184, y=0.4568825662136078, z=-0.0491863489151001
Landmark 5: x=0.6759999990463257, y=0.5092402100563049, z=0.03268267214298248
Landmark 6: x=0.6535678505897522, y=0.43038028478622437, z=0.02820739895105362
Landmark 7: x=0.6393640637397766, y=0.3850442171096802, z=0.014654635451734066
Landmark 8: x=0.6277005076408386, y=0.34351423382759094, z=0.0027893539518117905
Landmark 9: x=0.7172410488128662, y=0.4917282462120056, z=0.030136579647660255
Landmark 10: x=0.7018494009971619, y=0.4080270826816559, z=0.02885834313929081
Landmark 11: x=0.6910498738288879, y=0.3594149947166443, z=0.0054488228633999825
Landmark 12: x=0.6794869899749756, y=0.3222707211971283, z=-0.01335704606026411
Landmark 13: x=0.7584959268569946, y=0.48986488580703735, z=0.02069304697215557
Landmark 14: x=0.7506457567214966, y=0.4096953272819519, z=0.014489595778286457
Landmark 15: x=0.7406368255615234, y=0.3616909384727478, z=-0.01145902555435896
Landmark 16: x=0.7267603278160095, y=0.3243091106414795, z=-0.031240805983543396
Landmark 17: x=0.8023971915245056, y=0.4999252259731293, z=0.007217944134026766
Landmark 18: x=0.812404453754425, y=0.43437424302101135, z=-0.0018415134400129318
Landmark 19: x=0.8106576800346375, y=0.3896932303905487, z=-0.01765557937324047
Landmark 20: x=0.8021699786186218, y=0.34945234656333923, z=-0.030674956738948822

Landmark 0: x=0.7693754434585571, y=0.7063950896263123, z=1.2367543655855684e-09
Landmark 1: x=0.6937864422798157, y=0.6677684783935547, z=-0.02298373356461525
Landmark 2: x=0.640656054019928, y=0.5974032878875732, z=-0.0287526473402977
Landmark 3: x=0.6176475882530212, y=0.5207235813140869, z=-0.03744181618094444
Landmark 4: x=0.6055527925491333, y=0.45729994773864746, z=-0.046745214611291885
Landmark 5: x=0.6715801358222961, y=0.5095714926719666, z=0.03270960599184036
